#,Màn hình,Tính năng,Mô tả,Độ ưu tiên,TG Ước tính
1,ĐĂNG NHẬP,[FE] Form nhập Email & Password,"Hiển thị form 2 trường: Email, Password (toggle hiện/ẩn). Nút Đăng nhập, link Quên mật khẩu, link Đăng ký",Cao,2 ngày
1,ĐĂNG NHẬP,[FE] Xử lý submit & lưu token,"Gọi API login, nhận access_token + refresh_token -> lưu vào httpOnly cookie. Redirect về trang trước đó hoặc Home",Cao,1-2 ngày
1,ĐĂNG NHẬP,[FE] Đăng nhập mạng xã hội,"Nút Google / Facebook OAuth2. Redirect đến OAuth provider, nhận callback code",Trung bình,2-3 ngày
1,ĐĂNG NHẬP,[FE] Hiển thị lỗi & loading state,"Toast thông báo lỗi (sai mật khẩu, tài khoản bị khóa). Spinner trên nút khi chờ phản hồi",Cao,1 ngày
1,ĐĂNG NHẬP,[BE] API xác thực người dùng,"Nhận email + password. Tìm user theo email, so sánh bcrypt hash, kiểm tra is_active & is_verified",Cao,2 ngày
1,ĐĂNG NHẬP,[BE] Phát hành JWT Token,"Tạo access_token (15 phút) + refresh_token (7 ngày). Lưu refresh_token hash vào DB hoặc Redis",Cao,1-2 ngày
1,ĐĂNG NHẬP,[BE] OAuth2 callback handler,"Nhận code từ Google/Facebook, đổi lấy profile. Tìm hoặc tạo user, phát JWT",Trung bình,2-3 ngày
1,ĐĂNG NHẬP,[BE] Rate limiting & bảo mật,"Giới hạn 5 lần thử sai/IP/phút -> trả 429. Log IP đáng ngờ. Thêm CAPTCHA sau 3 lần sai",Cao,2 ngày
2,ĐĂNG KÝ,[FE] Form đăng ký,"Các trường: Họ tên, Email, Số điện thoại, Mật khẩu, Xác nhận mật khẩu. Nút Đăng ký",Cao,2-3 ngày
2,ĐĂNG KÝ,[FE] Kiểm tra email tồn tại realtime,"onBlur email field -> gọi API check email. Hiện icon tick/x ngay trên field",Trung bình,1 ngày
2,ĐĂNG KÝ,[FE] Trang xác nhận email,"Sau đăng ký -> hiện trang Kiểm tra hộp thư. Nút Gửi lại email. Countdown 60s",Trung bình,1 ngày
2,ĐĂNG KÝ,[BE] API tạo tài khoản,"Validate dữ liệu đầu vào. Kiểm tra email/phone chưa tồn tại. Hash password bcrypt rounds=12",Cao,2-3 ngày
2,ĐĂNG KÝ,[BE] Gửi email xác nhận,"Gửi email HTML có link verify chứa token. Token hết hạn sau 24h",Cao,2 ngày
2,ĐĂNG KÝ,[BE] Verify email,"Nhận token từ URL. Tìm user có email_token khớp và chưa hết hạn. UPDATE is_verified=1",Cao,1 ngày
3,QUÊN MK,[FE] Form nhập email quên mật khẩu,"Nhập địa chỉ email. Nút Gửi link đặt lại. Hiện thông báo Kiểm tra hộp thư sau khi gửi thành công",Cao,1-2 ngày
3,QUÊN MK,[FE] Trang đặt lại mật khẩu,"Nhận token từ URL. Form: Mật khẩu mới + Xác nhận. Validate token còn hiệu lực trước khi hiện form",Cao,2 ngày
3,QUÊN MK,[FE] Trạng thái token hết hạn,"Nếu token hết hạn (>1h) -> hiện trang lỗi với nút Yêu cầu link mới",Trung bình,1 ngày
4,TRANG CHỦ,[FE] Slider / Banner,"Hiển thị Carousel Banner ưu đãi, BST mới. Hỗ trợ swipe trên Mobile",Trung bình,1 ngày
4,TRANG CHỦ,[FE] Component SP nổi bật,"Layout Grid sản phẩm, có Badge (Mới/Hot), nút Thêm vào giỏ nhanh",Cao,2 ngày
4,TRANG CHỦ,[BE] API Lấy SP nổi bật,"Trả về danh sách sản phẩm is_featured/is_new_arrival, giới hạn số lượng",Cao,1 ngày
5,TÌM KIẾM,[FE] Thanh tìm kiếm & Gợi ý,"Ô search trên header. Có debounce. Hiển thị dropdown gợi ý khi gõ. Lưu lịch sử tìm kiếm",Cao,2 ngày
5,TÌM KIẾM,[BE] API Tìm kiếm Full-text,"Tìm theo Tên, Thương hiệu. Tối ưu index tìm kiếm, phân trang kết quả",Cao,1-2 ngày
6,DANH MỤC,[FE] Breadcrumb & Header,"Đường dẫn phân cấp (Trang chủ > Áo > Áo thun). Tiêu đề H1 chuẩn SEO",Cao,1 ngày
6,DANH MỤC,[FE] Sidebar Bộ Lọc,"Lọc theo Thương hiệu, Giá, Màu sắc, Size. Sync với URL Params. Responsive Drawer trên mobile",Cao,3 ngày
6,DANH MỤC,[FE] Phân trang & Hiển thị,"Toggle Grid/List view. Sort theo Mới nhất/Giá/Bán chạy. Cấu hình Infinite scroll hoặc Pagination",Cao,2 ngày
6,DANH MỤC,[BE] API Get Filter Options,"Trả về các options filter (size, color, brand) khả dụng trong danh mục kèm count",Cao,2 ngày
6,DANH MỤC,[BE] API Lọc Sản phẩm,"Query động theo nhiều filter cùng lúc. Phân trang và Sort",Cao,2-3 ngày
7,CT SẢN PHẨM,[FE] Image Gallery,"Ảnh chính to, hỗ trợ Zoom (Kính lúp). Thumbnail slider nhỏ bên dưới",Cao,1-2 ngày
7,CT SẢN PHẨM,[FE] Chọn Biến thể (Variants),"Chọn Màu (swatch), Chọn Size. Hiển thị tồn kho. Disable Hết hàng",Cao,2 ngày
7,CT SẢN PHẨM,[FE] Nút Thao tác & Mô tả,"Thêm vào giỏ hàng, Mua ngay. Nội dung chi tiết SP (Rich text)",Cao,1 ngày
7,CT SẢN PHẨM,[FE] Đánh giá & Bình luận,"Hiển thị số sao trung bình. Danh sách comment có phân trang. Form gửi review",Trung bình,2 ngày
7,CT SẢN PHẨM,[BE] API Get Product Detail,"Trả thông tin chi tiết kèm các variants (color, size, stock)",Cao,1 ngày
7,CT SẢN PHẨM,[BE] API Submit Review,"Lưu rating & comment. Kiểm tra user đã mua SP chưa",Trung bình,1 ngày
8,GIỎ HÀNG,[FE] Mini Cart Drawer,"Drawer trượt từ phải. Danh sách SP, thay đổi số lượng, Xóa SP, Tạm tính giá",Cao,2-3 ngày
8,GIỎ HÀNG,[FE] Trang Giỏ Hàng chi tiết,"Danh sách SP rộng hơn, tổng tiền, check out button",Cao,1 ngày
8,GIỎ HÀNG,[BE] API Quản lý Giỏ hàng,"CRUD giỏ hàng theo User_id. Validate lại giá và tồn kho thực tế",Cao,2 ngày
9,ĐẶT HÀNG,[FE] Form Thông tin nhận hàng,"Nhập Địa chỉ (Tỉnh/Thành, Quận/Huyện, Phường/Xã). API địa chỉ local",Cao,2-3 ngày
9,ĐẶT HÀNG,[FE] Áp dụng Mã giảm giá,"Ô nhập mã, Validate realtime. Trừ tiền nếu hợp lệ",Cao,1-2 ngày
9,ĐẶT HÀNG,[FE] Chọn Thanh toán,"COD hoặc Cổng TT Online (VNPAY/MOMO)",Cao,2 ngày
9,ĐẶT HÀNG,[BE] API Đặt hàng (Checkout),"Transaction xử lý: Trừ tồn kho -> Tạo Order -> Update Coupon. Tránh concurrency (Locking)",Cao,3-4 ngày
10,ĐƠN HÀNG,[FE] Lịch sử mua hàng,"Tab Lịch sử: Chờ duyệt, Đang giao, Hoàn thành, Đã hủy",Cao,2 ngày
10,ĐƠN HÀNG,[FE] Yêu cầu Đổi/Trả,"Nút yêu cầu đổi trả (trong 7 ngày). Form chọn lý do, upload ảnh lỗi",Trung bình,2-3 ngày
10,ĐƠN HÀNG,[BE] API Quản lý Đơn (User),"Lấy danh sách đơn hàng. Logic cho phép hủy đơn (khi Pending)",Cao,1-2 ngày
11,ADMIN PANEL,[FE] Dashboard Thống kê,"Biểu đồ doanh thu (Line/Pie chart). Tổng quan Đơn/Sản phẩm/Khách hàng",Cao,3 ngày
11,ADMIN PANEL,[FE] Quản lý Sản phẩm,"Bảng danh sách, form Thêm/Sửa (Drawer). Quản lý Variants.",Cao,3-4 ngày
11,ADMIN PANEL,[FE] Quản lý Đơn hàng,"Xem chi tiết, duyệt đơn, thay đổi trạng thái giao hàng",Cao,2 ngày
11,ADMIN PANEL,[FE] Quản lý Đổi/Trả,"Modal duyệt trả hàng/hoàn tiền. Ghi chú admin",Trung bình,2 ngày
11,ADMIN PANEL,[BE] APIs Admin,"Các CRUD APIs cho Product, Brand, Category, Order, User, Thống kê",Cao,5-7 ngày
